Категория;Подкатегория;Имя RU;Имя EN;Имя TW;Имя CN;Имя KR;Имя JP;Имя PT;Имя TH;Имя FR;Имя DE;Имя SP
Постоянные;Utility;Сундук для реликвий;Relic Locker;裝飾物：聖域鎖櫃;遗物陈列柜;유물 사물함;レリックロッカー;Armário de Relíquias;ล็อกเกอร์วัตถุตกทอด;Casier de Reliques;Relikt-Truhe;Cofre de reliquias
Постоянные;Utility;Верстак для перековки;Reforging Bench;重鑄台;重铸台;재련 작업대;リフォージベンチ;Mesa de Reforja;โต๊ะหลอม;Établi de reforgeage;Umschiedewerkbank;Mesa de reforja
Постоянные;Utility;Верстак для разборки;Salvage Bench;回收台;分解台;분해 작업대;サルベージベンチ;Mesa de Transmutação;โต๊ะรื้อ;Établi de recyclage;Verwertungswerkbank;Mesa de reciclaje
Постоянные;Utility;Колодец;Well;水井;水井;우물;井戸;Poço;บ่อน้ำ;Puits;Brunnen;Pozo
Постоянные;Utility;Машина картоходца волшебного соцветия;Magebloom Map Device;裝飾物：魔炎地圖裝置;地图装置：魔法之花;마법의 꽃 지도 장치;メイジブルームマップデバイス;Dispositivo de Mapas: Florescer da Magia;เครื่องเปิดแผนที่บุปผาจอมเวท;Dispositif cartographique de la Magéclosion;Zauberblüte-Kartenapparat;Artefacto de mapas de Brote mágico
Постоянные;Utility;Портал учёного лудильщика для убежища;Scientist Tinker's Waypoint;裝飾物：科技匠師傳送點;装饰物：科学家修补匠传送点;과학자 땜장이의 거점;科学者のからくりウェイポイント;Marcador do Faz-tudo Cientista;เวย์พอยน์ช่างเชื่อม Scientist;Point de téléportation du Bricoleur du Scientifique;Wissenschaftlicher Wegpunkt des Tüftlers;Transportador del calderero científico
Постоянные;Utility;Портал лудильщика-призывателя бури для убежища;Stormcaller Tinker's Waypoint;裝飾物：風暴匠師送符點;装饰物：风暴使者修补匠传送点;폭풍 소환사 땜장이의 거점;ストームコーラーのからくりウェイポイント;Marcador do Faz-tudo Convocador da Tempestade;เวย์พอยน์ช่างเชื่อม Stormcaller;Point de téléportation du Bricoleur du Mande-foudre;Sturmbeschwörender Wegpunkt des Tüftlers;Transportador del calderero llamador de tormentas
Постоянные;Utility;Божественный портал лудильщика для убежища;Divine Tinker's Waypoint;裝飾物：神聖匠師傳送點;装饰物：神圣修补匠传送点;신성한 땜장이의 거점;神聖なからくりウェイポイント;Marcador do Faz-tudo Divino;เวย์พอยน์ช่างเชื่อม Divine;Point de téléportation du Bricoleur divin;Göttlicher Wegpunkt des Tüftlers;Transportador del calderero divino
Постоянные;Utility;Портал лудильщика Осколка тьмы для убежища;Darkshard Tinker's Waypoint;裝飾物：暗魂匠師傳送點;装饰物：地狱使魔修补匠传送点;어둠의 파편 땜장이의 거점;ダークシャードのからくりウェイポイント;Marcador do Faz-tudo do Fragmento Sombrio;เวย์พอยน์ช่างเชื่อม Darkshard;Point de téléportation du Bricoleur du Sombre éclat;Dunkelscherbe-Wegpunkt des Tüftlers;Transportador del calderero de cristal oscuro
Постоянные;Utility;Зелёный портал лудильщика для убежища;Verdant Tinker's Waypoint;裝飾物：自然匠師傳送點;装饰物：翠绿修补匠传送点;신록의 땜장이의 거점;新緑のからくりウェイポイント;Marcador do Faz-tudo Verdejante;เวย์พอยน์ช่างเชื่อม Verdant;Point de téléportation du Bricoleur verdoyant;Grünender Wegpunkt des Tüftlers;Transportador del calderero verde
Постоянные;Utility;Портал лудильщика-техноманта для убежища;Thaumaturgy Tinker's Waypoint;裝飾物：奇幻匠師傳送點;装饰物：奇术修补匠传送点;마석학 땜장이의 거점;魔術のからくりウェイポイント;Marcador do Faz-tudo Taumaturgo;เวย์พอยน์ช่างเชื่อม Thaumaturgy;Point de téléportation du Bricoleur de la Thaumaturgie;Thaumaturgischer Wegpunkt des Tüftlers;Transportador del calderero taumatúrgico
Постоянные;Utility;Солнечная Машина картоходца;Solar Map Device;地圖裝置：日耀;装饰物：日耀地图装置;태양의 지도 장치;太陽のマップデバイス;Dispositivo Solar de Mapas;ของตกแต่ง เครื่องเปิดแผนที่ตะวัน;Dispositif cartographique solaire;Sonnen-Kartenapparat;Artefacto de mapas Solar
Постоянные;Utility;Жертвенная Машина картоходца;Sacrificial Map Device;地圖裝置：獻祭;装饰物：瓦尔地图装置;희생의 지도 장치;生贄のマップデバイス;Dispositivo Sacrificial de Mapas;ของตกแต่ง เครื่องเปิดแผนที่สังเวย;Dispositif cartographique sacrificiel;Opfer-Kartenapparat;Artefacto de mapas Sacrificial
Постоянные;Utility;Машина картоходца;Map Device;地圖裝置;黄金制图仪;지도 장치;マップデバイス;Dispositivo de Mapas;เครื่องเปิดแผนที่;Dispositif cartographique;Kartenapparat;Artefacto de mapas
Постоянные;Utility;Тайник;Stash;倉庫;仓库;보관함;スタッシュ;Baú;คลังเก็บของ;Réserve;Truhe;Alijo
Постоянные;Utility;Тайник гильдии;Guild Stash;公會倉庫;公会仓库;길드 보관함;ギルドスタッシュ;Baú de Guilda;คลังเก็บของกิลด์;Réserve de Guilde;Gildentruhe;Alijo de hermandad
Постоянные;Utility;Портал;Waypoint;傳送點;传送点;거점;ウェイポイント;Marcador Vaal;เวย์พอยน์;Point de téléportation;Wegpunkt;Transportador
Постоянные;Utility;Верстак Зачарователя для убежища;Enchanter's Crafting Bench Hideout Decoration;裝飾物：魔紋工藝台;装饰物：附魔师工艺台;마술사의 작업대 은신처 장식물;エンチャンターのクラフトベンチ隠れ家装飾品;Decoração de Refúgio: Mesa de Criação do Encantador;ของตกแต่ง โต๊ะคราฟท์นักลงเสน่ห์;Établi d'artisanat de l'Enchanteur;Werkbank des Verzauberers;Decoración de Mesa de fabricación del Encantador para guarida
Постоянные;Utility;Машина картоходца котла;Cauldron Map Device;地圖裝置：大鍋爐;大锅地图装置;가마솥 지도 장치;大釜のマップデバイス;Dispositivo de Mapas: Caldeirão;เครื่องเปิดแผนที่หม้อต้ม;Dispositif cartographique : Chaudron;Kessel-Kartenapparat;Artefacto de mapas de Caldero
Постоянные;Utility;Верстак - каноэ предков;Ancestral Canoe Crafting Bench;祖傳獨木舟工藝台;工艺台：先祖独木舟;선대의 카누 작업대;先祖のカヌーのクラフトベンチ;Mesa de Forja: Canoa Ancestral;โต๊ะคราฟท์เรือพายบรรพชน;Établi d'artisanat Canoë ancestral;'Kanu der Ahnen'-Werkbank;Mesa de fabricación de Canoa ancestral
Постоянные;Utility;Машина картоходца - трон правителя;Throne of the Ruler Map Device;地圖裝置：統治者王座;地图装置：统治者王座;통치자의 왕좌 지도 장치;支配者の玉座マップデバイス;Dispositivo de Mapas: Trono do Governante;เครื่องเปิดแผนที่บัลลังก์ผู้ครองราชย์;Trône du Souverain (Dispositif cartographique);'Thron des Herrschers'-Kartenapparat;Artefacto de mapas de Trono del gobernante
Постоянные;Utility;Zodiac Dragon Map Device;Zodiac Dragon Map Device;地圖裝置：黃道巨龍;飞龙乘云地图装置;성좌의 용 지도 장치;ゾディアックドラゴンマップデバイス;Dispositivo de Mapas: Dragão Zodíaco;เครื่องเปิดแผนที่ Zodiac;Dispositif cartographique du Dragon du zodiaque;Tierkreisdrachen-Kartenapparat;Artefacto de mapas de Dragón del zodíaco
Постоянные;Utility;Бронзовая машина картоходца хранителя времени;Bronze Timekeeper's Map Device;地圖裝置：時間旅人．銅;装饰物：青铜时间守护者地图装置;시간 기록자의 동 지도 장치;銅の時の守り人のマップデバイス;Dispositivo de Mapas: Cronometrista de Bronze;เครื่องเปิดแผนที่จับเวลา Bronze;Dispositif cartographique du Gardien du Temps de bronze;'Bronzener Uhrenturm'-Kartenapparat;Artefacto de mapas del Guardián del tiempo de bronce
Постоянные;Utility;Серебряная машина картоходца хранителя времени;Silver Timekeeper's Map Device;地圖裝置：時間旅人．銀;装饰物：秘银时间守护者地图装置;시간 기록자의 은 지도 장치;銀の時の守り人のマップデバイス;Dispositivo de Mapas: Cronometrista Prateado;เครื่องเปิดแผนที่จับเวลา Silver;Dispositif cartographique du Gardien du Temps d'argent;'Silberner Uhrentum'-Kartenapparat;Artefacto de mapas del Guardián del tiempo de plata
Постоянные;Utility;Золотая машина картоходца хранителя времени;Gold Timekeeper's Map Device;地圖裝置：時間旅人．金;装饰物：黄金时间守护者地图装置;시간 기록자의 금 지도 장치;金の時の守り人のマップデバイス;Dispositivo de Mapas: Cronometrista Dourado;เครื่องเปิดแผนที่จับเวลา Gold;Dispositif cartographique du Gardien du Temps d'or;'Goldener Uhrenturm'-Kartenapparat;Artefacto de mapas del Guardián del tiempo de oro
Постоянные;Utility;Машина картоходца из зиккурата;Ziggurat Map Device;裝飾物：高地神塔地圖裝置;地图装置：金字塔;지구라트 지도 장치;ジッグラトのマップデバイス;Dispositivo de Mapa Zigurate;เครื่องเปิดแผนที่ซิกกุรัต;Dispositif cartographique de la Ziggourat;Zikkurat-Kartenapparat;Artefacto de mapas de zigurat
Постоянные;Utility;Машина картоходца Ацоатля;Atzoatl Map Device;地圖裝置：阿茲瓦特;阿佐亚特地图装置;앗조아틀 지도 장치;アッツォアトルのマップデバイス;Dispositivo de Mapas: Atzoatl;เครื่องเปิดแผนที่แอ็ทโซแอทล์;Dispositif cartographique d'Atzoatl;Atzoatl-Kartenapparat;Artefacto de mapas de Atzoatl
